title,authors,description
Harry Potter and the Sorcerer's Stone,J.K. Rowling,"Harry Potter discovers he is a wizard and attends Hogwarts School of Witchcraft and Wizardry, beginning his magical journey."
The Hobbit,J.R.R. Tolkien,"Bilbo Baggins, a hobbit, is swept into a quest to reclaim a treasure guarded by a dragon named Smaug."
Pride and Prejudice,Jane Austen,"Elizabeth Bennet navigates issues of manners, morality, and love in 19th century England."
The Great Gatsby,F. Scott Fitzgerald,"A mysterious millionaire, Jay Gatsby, tries to win back his former lover Daisy in the Roaring Twenties."
To Kill a Mockingbird,Harper Lee,"Scout Finch grows up in the racially charged American South and learns about justice and compassion."
1984,George Orwell,"A dystopian future where the government watches everything and controls even people's thoughts."
Moby-Dick,Herman Melville,"Captain Ahab seeks revenge against the white whale Moby Dick, leading to a tragic journey."
The Catcher in the Rye,J.D. Salinger,"Holden Caulfield, a teenager in New York, struggles with alienation and identity."
The Alchemist,Paulo Coelho,"A young shepherd travels from Spain to Egypt after dreaming of finding treasure in the pyramids."
Little Women,Louisa May Alcott,"The four March sisters experience love, loss, and family during the American Civil War."
